source,rank,title
誠品,1,"戀愛吧, 假面天使! 6 (首刷限定版)"
誠品,3,"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康"
誠品,4,抄寫英語的奇蹟 1+2 誠品限量套組 (2冊合售)
誠品,5,薰香花朵凛然綻放 20 (首刷限定版)
誠品,6,"重縫人生: 從罹患腦瘤、市場一坪小攤到國際伸展台, 她為人生重新打版, 將生命的傷口縫成了美麗的翅膀。"
誠品,7,荷止微甜: 邊荷律影像紀實 (誠品獨家雙書衣限定版)
博客來,1,臺灣漫遊錄
博客來,2,槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休
博客來,3,新式型態學2.0　全方位實戰獲利系統：全商品、多週期、跨市場，多空皆贏的專屬攻略
博客來,4,醫願：讓醫療回到理解與陪伴
博客來,5,獨斷與偏見
博客來,6,納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧
博客來,7,達克比辦案17：圈谷救援隊：高山生態環境與臺灣山脈的特色
博客來,8,能美學長的申辯 特裝版
博客來,9,抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛
博客來,10,財富階梯：（《持續買進》作者新作）資料科學家為你打造，適用人生各階段的致富策略
博客來,11,薰香花朵凛然綻放 (首刷限定版) 19
博客來,12,Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康
博客來,13,律師帶你看校園大小事2：老師必知的33個法律問題
博客來,14,戀愛吧，假面天使！ (首刷限定版) 6
博客來,15,我家住在張日興隔壁（2026國際布克獎得主，楊双子個人生命書寫）
博客來,16,Claude 萬用手冊：Claude.ai | Desktop | Cowork | Code Mode | Design | Computer Use | Skills | Connectors | Plugins
博客來,17,魔男伊奇 (首刷限定版) 6
博客來,18,阿甘投資法：執行篇：不看盤、不選股、不挑買點，你致富的戰術手冊
博客來,19,【《阿甘投資法》金句印簽版套書】（《阿甘投資法：規劃篇》《阿甘投資法：執行篇》（二書）
博客來,20,賣瓜的人【文壇年度耀眼新星】
博客來,21,最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）
博客來,22,高功能倖存者：如果不「有用」，我還值得被愛嗎？
博客來,23,激素平衡瘦身課（限量附贈【14天代謝調整課表】）：啟動代謝重建，瘦得健康持久
博客來,24,既然你都這麼說了我就抱你吧(03)特裝版
博客來,25,向光前行 迎向變局的勇氣：黃國昌對台灣未來的省思
博客來,26,抄寫英語的奇蹟2 【博客來獨家激勵蓋印印簽版】：每天10分鐘，英文更熟練、內在更強韌
博客來,27,恰如細語般的戀歌(11)
博客來,28,名偵探柯南(107)
博客來,29,人生是一場溫柔的綻放：黑幼龍的36堂幸福人生課
博客來,30,名偵探柯南(107)特別版
博客來,31,全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）
博客來,32,長期買進：財金教授周冠男的42堂自制力投資課
博客來,33,B2B超業進化：AI時代的顧問式銷售與價值共創思維（6套實戰方法 × 10大成交心法 × 5項行動指引）
博客來,34,阿甘投資法：規劃篇：全方位理財第四堂課，不預測未來波動，只規劃必然的成功
博客來,35,金剛經白話講座：放下的人生修行
博客來,36,重新打好英語根基：1000多萬人都受用【附測試題+口說音檔】
博客來,37,膽大黨 (首刷限定版) 22
博客來,38,父母的旅程
博客來,39,魔法抱抱【情緒管理】（理解並安撫孩子的壞情緒）
博客來,40,原子習慣：細微改變帶來巨大成就的實證法則
博客來,41,赤腳天使(02)
博客來,42,波段的紀律：我在海龜操盤手訓練、法人交易現場學到的進場、加碼、退場紀律，守住紀律獲利至少50％
博客來,43,杖藜過橋東：柳風生暖意、杏雨不濕衣；陳亮恭談以心轉境的適齡漫想
博客來,44,不值班，我就在檳榔攤：一位外科醫師對人生的回望
博客來,45,被討厭的勇氣：自我啟發之父「阿德勒」的教導
博客來,46,不反應的練習：讓所有煩惱都消失，世界最強、最古老的心理訓練入門
